<Trait>	BLUE_Yield	BLUE_DTS	BLUE_DTA	BLUE_PH	BLUE_EH
PI601009xPI634214	7.0002	67.6824	65.9208	232.515	111.9627
PI601322xPI601172	7.3879	69.5724	67.9755	242.7104	112.048
PI601322xB75	6.3516	68.9527	65.5768	238.237	112.0641
PI601009xAmes14113	5.8782	70.724	68.1952	233.5761	112.0641
PI601322xPI594055	7.4187	68.8714	65.6684	242.8777	112.1218
PI601322xAmes27069	5.9512	67.4395	64.1137	232.8482	112.2213
PI601009xAmes24740	6.3449	68.8252	67.3462	221.6827	112.2869
PI601322xPI596501	6.3516	67.1433	65.0782	217.662	112.4458
PI601322xEP10	4.8503	66.7483	64.0401	230.7057	112.4459
PI601009xPI506253	6.6906	71.356	69.7935	221.4486	112.4686
PI601322xPI539922	7.1233	67.9228	65.5784	236.3883	112.4964
PI601009xEP2008-03	5.9208	66.6566	63.6973	218.7517	112.5101
PI601322xNSL30878	6.4558	68.9443	65.9723	234.2661	112.5119
PI601322xAmes22753	7.164	67.2335	64.8966	235.9004	112.5803
PI601322xPI600957	6.2581	66.1776	64.826	229.2809	112.5969
PI601009xPI257517	5.6587	66.4469	64.436	208.03	112.678
PI601322xNSL30072	5.7379	65.838	64.6687	232.9225	112.6918
PI601322xAmes27178	6.6804	67.6746	65.7764	231.1163	112.8382
PI601009xNSL30064	6.836	66.9886	65.0435	224.0114	112.8826
PI601322xB14A	6.329	70.0993	67.3069	235.9543	112.9213
PI601322xMp339	-999	74.8587	70.7679	230.7696	112.9562
PI601322xPI200191	5.4219	68.4045	64.788	227.3685	113.0469
PI601009xAmes27112	7.8848	70.8095	68.3886	229.2109	113.0488
PI601009xPI340812	4.8846	65.8051	63.9942	222.3161	113.1753
PI601322xAmes12820	6.473	68.662	66.5718	230.1459	113.1957
PI601322xPI340860	4.8319	68.1742	65.3711	224.6551	113.2144
PI601322xAmes23426	6.2897	64.6303	62.7175	223.7931	113.2294
PI601322xAmes19000	7.1961	68.4216	65.7466	234.2328	113.2645
PI601322xPI601468	7.6336	68.4261	66.2914	238.366	113.2981
PI601322xAmes23471	7.2587	68.5805	66.2533	231.8227	113.3132
PI601322xMo18W	-999	75.5702	70.0952	236.1473	113.3298
PI601322xNSL437983	5.9188	71.312	67.1602	226.9558	113.407
PI601322xPI606330	8.0448	70.004	66.2128	247.9473	113.4122
PI601009xPI601685	6.7285	69.0522	67.8302	231.2171	113.4154
PI601009xAmes26797	8.3857	69.1493	67.2551	219.9012	113.4257
PI601322xPI537097	7.2593	70.2379	67.8799	230.4032	113.447
PI601322xAmes2341	5.7608	68.9642	66.3988	249.9524	113.5166
PI601322xPI641229	5.6284	67.8477	65.3745	240.4707	113.5172
PI601009xPI550518	6.4779	68.8922	67.079	231.1694	113.522
PI601322xAmes27082	7.1151	72.1161	69.0792	244.5194	113.5417
PI601322xAmes26744	6.3464	68.5504	65.7197	228.8008	113.5841
PI601009xPI596627	6.4304	71.5032	68.9937	229.157	113.6233
PI601322xPI634213	7.4092	67.1481	65.2742	229.9245	113.6532
PI601322xAmes27175	7.6551	68.6012	66.722	230.625	113.7008
PI601322xAmes22754	7.21	68.9686	66.3862	226.9583	113.7384
PI601322xPI583847	6.7507	67.6371	65.6232	246.7983	113.7745
PI601009xPI596499	5.8019	66.0039	63.7793	227.8817	113.7788
PI601009xPI593010	6.3915	71.3931	68.6232	223.0791	113.8342
PI601322xNSL437979	7.7183	69.5024	66.4726	225.1199	113.8416
PI601322xAmes19319	7.7126	69.8254	67.201	229.8259	113.8473
PI601322xAmes23407	5.2425	69.1341	66.0407	234.0288	113.8498
PI601322xPI601378	7.1236	65.5147	63.8464	235.2357	113.8818
PI601322xEP2008-05	6.2924	65.4218	62.4374	231.9725	114.0011
PI601009xPI550547	6.7361	71.2524	68.9188	222.3438	114.0029
PI601322xNSL438029	6.9602	69.9425	66.5394	239.9056	114.0123
PI601322xAmes27112	8.6245	72.4381	67.8763	232.7313	114.0445
PI601009xNSL29316	6.8735	69.112	66.4509	222.308	114.0592
PI601322xPI601565	6.9079	65.5467	63.7396	225.9955	114.1028
PI601322xNC264	8.343	70.3888	66.9758	230.4115	114.1114
PI601322xAmes28422	7.5006	67.4977	65.8729	238.3997	114.1561
PI601322xAmes19019	6.359	68.283	65.8457	240.6845	114.1786
PI601322xPI595366	7.8572	68.3906	66.1295	231.7108	114.186
PI601322xPI601559	7.0374	68.1787	66.2345	237.693	114.2005
PI601322xNSL437962	6.6907	70.3571	66.8476	227.1043	114.3097
PI601009xNSL42804	5.6739	66.1734	64.9841	231.1261	114.3101
PI601322xEA2024	6.5137	66.8663	63.9323	221.9211	114.382
PI601322xPI594071	6.9389	68.3196	64.9792	251.4426	114.7484
PI601322xNSL65866	7.5594	68.6719	66.3023	241.6871	114.7698
PI601322xAmes27079	10.0196	71.308	68.4183	233.1129	114.8003
PI601009xPI553056	4.8465	67.0414	65.0211	240.8591	114.823
PI601322xPI648425	6.6141	67.3183	65.1756	235.0421	114.9301
PI601009xPI641254	5.7952	67.3874	65.884	238.302	114.943
PI601322xAmes22751	6.6595	67.4253	65.2598	218.8491	115.0663
PI601322xNC250	6.8344	68.2901	66.4548	241.7299	115.0781
PI601009xPI198892	4.5914	65.1375	63.4624	220.6462	115.1645
PI601322xNSL437939	6.4026	69.5954	67.0106	239.6807	115.168
PI601009xPI200194	6.0312	67.7019	65.1783	228.4911	115.2128
PI601322xPI340866	5.0859	67.6426	64.9057	224.726	115.2409
PI601322xAmes24730	-999	65.1131	63.596	236.4119	115.2466
PI601322xAmes26769	5.8446	71.3496	66.8893	240.4292	115.3175
PI601322xAmes26794	6.8379	70.656	67.6463	254.8033	115.3584
PI601322xEP2008-03	5.4353	67.8944	64.336	232.7926	115.3889
PI601322xDE811	7.0492	68.4778	66.7746	238.7894	115.4053
PI601322xPI601442	7.5568	67.5496	65.89	242.0751	115.4126
PI601322xPI648423	6.4754	66.7044	64.3488	236.615	115.4377
PI601322xPI594051	6.3368	69.5451	67.0361	251.9244	115.5405
PI601322xAmes27123	7.6026	71.7146	68.1086	230.5443	115.5454
PI601322xAmes28935	4.7231	73.3383	69.8047	236.5941	115.5616
PI601322xNSL437877	7.8233	73.1675	68.1821	238.7739	115.5851
PI601322xNSL437934	6.386	70.2393	67.6635	239.7822	115.6237
PI601322xPI601573	6.9345	68.4463	66.275	239.2976	115.6267
PI601009xPI221741	5.6312	68.5543	66.6361	205.1025	115.7269
PI601322xPI594090	6.726	67.7486	65.4051	236.8817	115.9105
PI601009xNSL28965	6.4829	66.0688	64.7127	228.0514	115.9873
PI601322xB79	6.6389	68.3042	65.5648	238.5011	115.9918
PI601009xAmes27088	7.8377	73.5822	70.7823	225.6867	116.0223
PI601322xPI594066	8.3078	67.9666	65.864	239.1039	116.026
PI601322xNSL438022	6.9317	68.2091	66.6961	236.6465	116.0394
PI601322xAmes26021	5.6812	69.8926	66.6531	225.5808	116.0496
PI601322xAmes23427	5.4888	66.5309	63.9764	236.8834	116.0781
PI601009xCML277	6.3086	75.6344	69.5575	241.5627	116.1348
PI601322xPI547088	7.2452	67.1423	65.6729	241.0675	116.1443
PI601322xPI601211	7.0821	67.0158	64.9189	231.3226	116.1621
PI601322xPI638550	7.5049	68.8096	66.2018	239.3227	116.2025
PI601322xNSL437932	7.1349	69.5988	65.5182	234.1257	116.2282
PI601009xPI540747	6.8802	70.9845	69.3631	233.983	116.288
PI601009xAmes27171	7.7143	70.8689	68.4112	241.4005	116.3781
PI601322xNSL437935	7.2291	67.9567	66.7477	233.9414	116.3906
PI601322xPI537099	6.146	66.0838	64.6571	228.3509	116.4175
PI601322xAmes12818	6.4155	70.0937	66.2803	251.8283	116.4301
PI601322xPI601780	6.4518	66.8324	64.4574	244.8288	116.4847
PI601322xNSL437980	7.5655	68.8557	65.9958	230.1203	116.5814
PI601322xOh603	6.4804	69.3585	66.3961	234.2875	116.6478
PI601322xB77	6.6866	69.2635	65.993	233.6968	116.6847
PI601322xPI601612	6.7555	67.4268	64.972	233.5901	116.6962
PI601009xPI303940	6.3332	66.282	64.4269	215.425	116.7285
PI601322xNSL243016	6.8084	67.235	64.8646	236.205	116.7408
PI601009xAmes29025	5.7111	67.5609	66.2065	226.9498	116.8012
PI601322xPI601491	6.6183	66.7432	64.7804	238.2814	116.8285
PI601322xNSL437909	6.7973	68.4424	65.909	242.5097	116.9908
PI601322xAmes27096	7.4485	70.1972	67.7479	245.548	116.9959
PI601322xN7A	9.1137	67.7002	65.8722	226.3918	117.0198
PI601322xNSL30874	6.2992	68.8426	65.7999	240.4681	117.0406
PI601322xAmes26786	6.1149	68.3206	65.5703	237.7016	117.1101
PI601322xNSL438033	7.4003	66.9264	64.7586	238.784	117.1256
PI601322xPI511310	6.7971	67.9585	67.1094	237.4716	117.1612
PI601322xNSL437905	5.8501	68.9954	66.8183	250.8527	117.1835
PI601322xPI340847	6.0861	69.079	64.9483	229.8563	117.1878
PI601322xPI539923	7.7603	69.8784	67.9925	247.823	117.2026
PI601322xNSL30060	6.207	68.2803	65.133	248.7366	117.274
PI601322xAmes27142	8.0443	68.6488	65.7089	240.9514	117.4857
PI601322xA239	6.4943	66.9435	65.4565	235.6042	117.5067
PI601322xPI550527	6.6682	68.6932	66.2471	238.6924	117.5108
PI601009xPI633727	7.2905	70.8672	69.3815	226.1676	117.5658
PI601322x4226	5.507	66.996	64.6314	236.3217	117.594
PI601322xPI594065	7.1818	67.9956	65.3462	233.2818	117.6071
PI601322xPI538229	6.0637	66.7299	65.4484	236.8151	117.6776
PI601322xPI596627	7.9363	67.8353	65.9553	234.1598	117.7233
PI601322xPI601492	7.0159	66.3547	64.1054	237.8428	117.7361
PI601322xPI638549	6.6594	68.8262	66.1015	238.1295	117.7414
PI601322x33-16	6.7108	69.7816	67.1245	241.0573	117.7784
PI601322xPI600755	6.5362	68.312	66.6239	235.1648	117.9054
PI601322xNSL30865	7.2581	68.1562	65.7352	244.7005	117.9646
PI601322xNSL437920	6.6015	69.3075	66.4378	234.055	118.1194
PI601322xPI600729	6.5063	68.3468	65.9187	241.4939	118.1361
PI601009xPI553059	4.6033	69.5835	64.9681	234.7117	118.1483
PI601322xB97	7.1738	67.7313	65.0815	238.8506	118.1574
PI601322xPI587149	6.4964	66.9938	64.5548	250.9729	118.1875
PI601322xA680	7.3135	67.0936	65.8474	245.2256	118.2476
PI601322xPI340856	4.5251	68.5447	65.19	224.1062	118.3384
PI601322xMo45	6.2847	69.1718	66.6671	236.1824	118.3539
PI601009xNSL75980	4.977	68.068	65.5148	213.3242	118.604
PI601322xPI511311	7.2496	68.1464	66.3831	242.2562	118.6254
PI601322xPI594069	7.3146	67.9187	65.256	247.4904	118.6727
PI601009xNSL30885	7.1426	68.4603	66.3003	234.8141	118.7366
PI601322xB76	6.1414	67.3377	66.2566	235.8149	118.7839
PI601322xNSL437925	6.772	69.8463	66.6414	240.8593	118.7981
PI601322xAmes28421	7.5465	68.1004	66.1533	243.6939	118.8546
PI601322xNSL437976	5.9253	69.3743	66.6651	230.7118	118.9521
PI601009xAmes26754	6.3828	69.6162	66.7493	239.0173	118.9726
PI601009xAmes26776	6.5507	68.2323	66.8008	223.3806	118.9875
PI601322xPI594068	6.5497	69.1128	67.0669	245.3439	118.9902
PI601322xAmes25374	7.0562	69.9584	67.0598	249.713	119.0855
PI601322xAmes27150	7.0348	68.4724	66.5669	244.5342	119.0953
PI601322xNSL437947	7.2286	72.3301	69.7886	236.1221	119.16
PI601322xAmes26743	5.2693	69.5331	66.8123	234.4865	119.4151
PI601322xNSL30066	5.9069	66.9392	64.26	236.6361	119.4325
PI601322xPI601026	7.1237	67.1387	65.1001	241.8335	119.4406
PI601322xAmes27160	7.501	67.9567	66.1456	237.0302	119.4483
PI601009xNSL22984	6.1162	67.9943	66.1322	229.1812	119.4991
PI601322xAmes27097	7.3558	69.4386	66.8038	228.1342	119.6069
PI601322xAmes24989	8.3339	69.903	66.5518	240.7535	119.646
PI601322xPI596500	6.0178	67.6988	65.3614	233.0732	119.6463
PI601322xAmes26138	5.7287	68.8911	65.9956	240.7924	119.7402
PI601322xAmes15929	6.7602	69.9744	67.1362	233.618	119.7965
PI601322xAmes27177	6.7358	70.9465	67.6054	251.0605	119.9055
PI601322xAmes28418	7.3848	68.2966	66.61	251.9364	119.9981
PI601322xNSL30894	-999	67.5228	64.7555	251.3164	120.0443
PI601322xAmes27167	7.0489	68.9726	66.4337	231.8275	120.0868
PI601322xPI539872	6.2064	69.0536	66.4677	251.2303	120.1242
PI601322xAmes19328	6.1463	71.6256	66.8365	241.2763	120.1274
PI601322xAmes23419	6.7868	65.6011	63.9775	238.8507	120.2308
PI601322xPI594058	7.1859	67.9244	66.4707	257.2143	120.3877
PI601009xPI186219	6.6824	66.1064	64.5536	225.4423	120.4464
PI601322xAmes25372	6.3583	70.447	67.5195	248.1187	120.4551
PI601009xEP2008-05	-999	66.0551	63.7294	226.1051	120.471
PI601322xAmes19323	7.1765	71.2089	68.0118	249.0133	120.6359
PI601322xPI596355	6.9143	69.6214	67.3909	254.5325	120.6443
PI601322xNSL437994	6.4468	68.3713	66.6763	245.9371	120.6546
PI601009xNSL437891	5.2148	72.2511	70.093	231.3814	120.7194
PI601009xAmes27081	7.2022	70.2434	69.0967	222.0117	120.7352
PI601322xA632	6.6791	67.0351	64.7295	241.4475	120.9329
PI601322xNSL437996	6.5324	68.4092	66.5897	241.8077	120.9567
PI601322xPI601417	7.0896	67.1489	65.7103	238.3085	120.9659
PI601322xPI631444	5.8851	71.3444	68.4179	239.9245	121.1884
PI601322xPI594086	6.5551	66.9589	66.1652	242.0777	121.2026
PI601322xAmes28932	6.9675	69.9796	67.1629	232.9036	121.3369
PI601322xAmes28420	6.703	68.3862	66.0166	234.6607	121.456
PI601322xAmes27161	7.0437	68.4989	65.9379	245.6382	121.5583
PI601322xPI553063	5.9741	68.6271	65.1289	249.8747	121.5617
PI601322xPI601191	6.7778	67.6109	66.2712	240.9556	121.5915
PI601009xPI186218	5.2995	66.0872	65.1409	226.4081	121.6543
PI601322xB68	6.3791	69.5995	67.2195	243.1989	121.7688
PI601322xAmes22756	5.5691	68.0052	66.0586	245.4657	121.7956
PI601322xPI517972	5.7214	70.0316	67.6111	247.425	121.9382
PI601322xPI594072	7.2871	68.1664	65.983	244.1111	121.9744
PI601322xPI648429	6.4697	67.7062	65.8431	240.7395	121.9832
PI601322xPI511309	6.4966	67.6652	65.9892	249.8128	122.0128
PI601322xNSL438019	7.2758	68.1888	66.136	235.319	122.0405
PI601322xPI340850	4.864	70.0789	65.9741	242.2105	122.2
PI601322xPI601777	8.5413	68.9748	66.3359	250.235	122.2417
PI601322xNSL81598	5.8439	68.4933	66.809	247.1336	122.3964
PI601322xB73	7.2406	68.2449	65.775	241.8311	122.4083
PI601322xAb28A	-999	74.0174	70.0752	223.7758	122.7839
PI601322xPI607382	7.2469	68.3844	66.3694	252.3979	122.8439
PI601322xNSL437910	6.7331	68.6298	66.3937	243.153	123.0967
PI601322x38-11	5.5471	70.8533	67.6325	245.1446	123.1712
PI601322xAmes27193	6.6393	69.0171	66.4411	244.0087	123.2865
PI601322xB109	5.8612	71.6446	67.9763	251.1002	123.2911
PI601322xPI601441	6.8207	68.2738	66.2428	235.9031	123.5235
PI601322xAmes26797	7.3132	71.8552	68.9256	243.006	123.6808
PI601322xPI592734	6.5941	68.3814	65.7945	236.9969	123.683
PI601322xAmes27182	6.8633	68.2323	66.4612	249.5088	123.7441
PI601009xAmes30536	6.2334	67.0659	65.332	233.5542	123.7539
PI601322xB37	8.1269	68.6474	66.7345	252.1412	123.8067
PI601322xPI648426	7.6464	68.4517	66.0247	239.4938	123.8129
PI601322xNSL30864	6.7362	68.4366	65.8045	236.0155	123.8175
PI601322xPI648427	7.385	68.2192	65.9514	240.338	123.8898
PI601322xCIze82	6.9485	70.2782	67.0259	242.4513	123.9886
PI601322xPI200194	5.1598	70.1324	66.053	250.8843	124.0023
PI601322xAmes26742	6.3406	70.1392	67.2485	237.0028	124.012
PI601322xAmes28419	6.8166	68.5952	66.1943	238.2924	124.0268
PI601322xPI601362	6.7638	67.2361	65.7201	246.5866	124.3969
PI601322xPI538244	6.7851	67.4485	66.1373	248.1236	124.4998
PI601322xAmes27088	8.8448	72.4636	69.5611	241.1859	124.6339
PI601322xAmes27065	7.1738	68.6198	66.6906	244.2112	124.6358
PI601322xPI553056	-999	68.0111	64.7891	244.5177	124.7129
PI601322xPI594067	7.8857	66.9428	64.694	255.4442	124.7246
PI601322xAmes27171	6.903	72.3592	68.8683	253.4492	124.8186
PI601322xAmes27151	6.8647	68.4476	65.8499	234.8197	125.0001
PI601322xAmes30522	-999	-999	-999	238.562	125.294
PI601322xAmes27185	7.2082	69.965	67.1168	244.1167	125.6408
PI601322xAmes28361	6.4872	69.8316	66.7345	246.9638	125.849
PI601322xPI601498	7.7229	68.747	67.1454	257.0778	125.8627
PI601322xPI506247	7.3418	72.4341	70.408	273.4428	126.0154
PI601322xNSL75979	5.0153	70.563	66.7109	238.8001	126.1622
PI601009xAmes27101	6.7282	72.0576	69.1202	237.077	126.2151
PI601322xAmes27133	7.8842	74.3434	69.7422	248.508	126.2721
PI601322xPI303939	5.5377	68.3189	64.7183	244.7773	126.6183
PI601322xNSL437933	6.6664	69.2265	67.7333	235.2188	126.6312
PI601322xPI553059	4.6316	69.7477	65.124	248.1546	126.8369
PI601322xPI594053	8.1624	69.824	67.3116	245.6423	127.0065
PI601322xAmes30528	-999	66.7226	64.9184	253.3083	127.1784
PI601322xNSL437992	6.4394	67.8764	65.9499	244.5727	127.2459
PI601322xPI568160	7.2666	67.9988	65.6241	246.2579	127.252
PI601322xPI340855	5.3342	67.8289	64.6882	231.1772	127.2971
PI601322xPI550546	8.8856	72.3556	69.4925	237.0906	127.5908
PI601322xPI303940	5.9914	66.9932	64.8213	232.6316	127.6498
PI601322xPI550522	7.5854	71.2979	67.589	249.4667	127.669
PI601009xAmes30532	5.2715	70.1889	67.7499	241.635	127.7814
PI601322xPI550520	7.5079	71.3635	68.3002	244.484	128.0006
PI601322xNSL30866	-999	69.249	67.1809	240.5867	128.0588
PI601322xPI550462	6.444	67.4746	65.0438	245.5311	128.1542
PI601322xPI601563	6.8024	68.7002	66.2774	244.8939	128.2119
PI601322xAmes27113	6.7037	74.9858	72.1349	269.4669	128.2437
PI601322xAmes27124	6.3788	75.8529	71.617	242.9533	128.3289
PI601009xAmes27095	5.5086	75.263	73.1472	244.6072	128.3592
PI601322xAmes26808	5.5301	69.2282	66.3745	245.4404	128.5365
PI601322xPI531510	7.4459	69.0923	66.8946	232.0017	128.6349
PI601322xCIze29	6.8471	69.8598	66.8703	244.9891	128.6369
PI601322xAmes26120	6.9891	71.0089	67.2419	236.8251	128.9325
PI601322xAmes28365	6.3062	69.0905	66.5249	237.5457	129.1282
PI601322xPI633727	6.464	73.008	70.5024	241.523	129.1792
PI601322xNSL437960	6.161	71.4982	68.3815	246.8887	129.2601
PI601322xPI550455	6.3541	69.3941	66.503	245.5618	129.592
PI601322xAmes27083	6.8751	71.1115	68.5018	246.43	129.693
PI601322xNSL437995	6.9268	68.6779	66.5121	244.1283	129.7445
PI601322xAmes28417	-999	71.0047	68.1859	220.0692	129.8796
PI601322xPI641254	5.7428	70.2552	66.6526	261.0537	130.4148
PI601322xPI594073	7.5065	68.2529	65.7137	254.0613	130.5
PI601322xPI550518	6.7009	70.527	68.1732	249.9562	130.5226
PI601322xPI506253	7.2659	72.1959	69.7032	247.2506	131.0113
PI601322xNSL437930	6.8272	68.271	66.7264	247.2696	131.3673
PI601322xPI550521	6.9669	71.6294	67.6146	259.3785	131.9037
PI601322xPI540745	6.9529	74.9225	70.1809	254.3312	132.1717
PI601322xCML247	6.7274	75.9267	72.4571	246.8574	132.2197
PI601322xPI540747	7.0222	72.3437	71.1015	264.3847	132.4127
PI601322xAmes27134	5.5069	72.3643	70.5183	242.6788	132.5339
PI601322xAmes2523	6.348	69.5714	66.6368	231.3758	133.2284
PI601322xAmes27084	7.5707	72.1568	69.6965	252.144	133.5255
PI601322xPI596629	6.8944	72.7752	68.4156	248.9308	134.1263
PI601322xPI550547	6.7944	73.9403	68.3452	252.2345	134.1317
PI601322xPI550526	6.2737	70.3909	65.8771	243.7169	134.5975
PI601322xAmes30524	5.8948	70.4726	67.0473	248.6841	136.165
PI601322xNSL437891	6.9592	73.7969	69.5208	245.8037	136.329
PI601322xPI593010	7.1774	72.4667	68.7577	248.6453	138.4906
PI601322xCML277	5.9117	77.6874	72.4826	257.3023	138.8636
PI601322xAmes28184	6.7016	74.9321	71.6129	258.1427	139.583
PI601322xPI506246	6.5908	73.2211	70.2567	255.5909	140.0882
PI601322xAmes19327	8.4589	72.9075	70.3434	270.4494	141.2593
PI601009xAmes30535	6.5006	76.7397	73.6612	252.9752	141.4892
PI601322xAmes27101	-999	-999	74.9908	256.8142	142.2292
PI601009xAmes30526	6.1942	76.779	74.316	253.6	142.9055
PI601322xCML52	5.894	77.5545	73.1102	278.4691	142.9082
PI601322xPI506255	7.4431	72.7899	70.1765	247.1068	143.2773
PI601322xAmes27081	7.9087	70.694	68.6306	242.2422	143.331
PI601322xPI550534	6.8758	71.8004	69.2682	256.7341	145.6775
PI601322xAmes30529	5.3795	73.8129	70.0707	272.1485	155.5742
PI601009xAmes27113	5.4542	86.7271	83.9346	288.5352	163.0489
PI601322xPI596505	1.9781	72.0952	69.6712	-999	-999
PI601009xAmes29017	-999	-999	-999	-999	-999
PI601009xMp339	-999	-999	-999	-999	-999
